,SegmentID,NodeIDFrom,NodeIDTo,LCB2010,RCB2010,persons_injured,pedestrians_injured,volume_count
18999,131907,0076416,0059284,3001,2001,0.0,0.0,4972.0
19181,51994,0031993,0031995,1005,2002,0.0,0.0,17111.0
19458,113914,0067341,0051472,2008,2008,0.0,0.0,8803.0
19583,102098,0062337,0062341,4009,3000,0.0,0.0,3161.0
19693,52124,0032071,0032074,2001,1000,0.0,0.0,11090.0
19786,130569,0046720,0073658,1006,2000,0.0,0.0,6487.0
19857,130064,0072567,0072570,1003,2003,0.0,0.0,7106.0
20642,175385,0046710,0086256,1000,1001,2.0,0.0,4661.0
20773,170113,0102592,0036137,4015,4016,0.0,0.0,26750.0
20822,194175,0058751,0058826,5001,5000,0.0,0.0,10403.0
20871,177488,0050908,0086451,1004,1005,0.0,0.0,8631.0
20976,189924,0054962,0105463,1224,1005,0.0,0.0,12338.0
21164,187968,0104285,0104281,3006,3006,0.0,0.0,1522.0
21741,76740,0046907,0046908,5002,1000,1.0,1.0,19221.0
21893,82335,0050227,0050228,1006,2005,0.0,0.0,13569.0
22112,62016,0038208,0038171,2013,2009,0.0,0.0,2426.0
22159,91315,0055586,0055587,1002,2003,2.0,2.0,14993.0
22368,56910,0035021,0035022,1001,2003,4.0,0.0,27007.0
22445,62764,0038709,0038714,3011,1001,0.0,0.0,24075.0
22552,170523,0081849,0034967,1015,1009,0.0,0.0,28047.0
22687,58598,0036122,0036123,4009,2002,0.0,0.0,8965.0
22723,167694,0081447,0027990,1008,1010,1.0,0.0,21633.0
22749,67971,0041776,0041775,1000,1001,0.0,0.0,8090.0
22758,67665,0041608,0041600,2001,2000,4.0,1.0,11538.0
23197,103498,0035260,0035364,1002,2000,0.0,0.0,11129.0
23292,74191,0045462,0045461,2003,2003,0.0,0.0,13226.0
23430,96504,0058816,0058819,1016,1023,0.0,0.0,7391.0
23472,101855,0062179,0062181,1010,1004,0.0,0.0,6505.0
23827,75414,0046193,0046195,1002,1003,3.0,1.0,18018.0
23976,97306,0059297,0059299,4007,1000,0.0,0.0,32554.0
24018,100527,0061318,0061320,1003,1004,0.0,0.0,9920.0
24048,101628,0062028,0062079,2018,3006,0.0,0.0,12566.0
24209,60164,0037083,0037084,2001,1006,1.0,0.0,4624.0
24310,101621,0062024,0062027,2015,3003,0.0,0.0,10518.0
24315,102597,0062663,0062662,2008,1000,0.0,0.0,4823.0
24550,102849,0062806,0062797,3007,2000,0.0,0.0,6499.0
