,slow_zone_indicator,slow_zone_proximity_indicator,injury_percentile_indicator,persons_injured,ped_injured,bc_centrality
42354,0,0,0,0.0,0.0,0.0
42390,0,0,0,0.0,0.0,0.0
42391,0,0,0,0.0,0.0,0.0
42392,0,0,0,0.0,0.0,0.00010185638877372087
42417,0,0,0,0.0,0.0,0.00021551639948566613
42586,0,0,0,0.0,0.0,3.2913945789279584e-05
42588,0,0,0,0.0,0.0,0.0
42590,0,0,0,0.0,0.0,0.0014591567758543925
42602,0,0,0,0.0,0.0,0.0
42603,0,0,0,0.0,0.0,0.0
42614,0,0,0,0.0,0.0,0.0
42618,0,0,0,0.0,0.0,0.0
42619,0,0,0,0.0,0.0,0.0
42620,0,0,0,0.0,0.0,0.0
42621,0,0,0,0.0,0.0,0.0
42622,0,0,0,0.0,0.0,0.0
42627,0,0,0,0.0,0.0,0.0
42628,0,0,0,0.0,0.0,0.0
42629,0,0,0,0.0,0.0,0.00017540731205873008
42630,0,0,0,0.0,0.0,1.583670206380734e-08
42631,0,0,0,0.0,0.0,0.0
42632,0,0,0,0.0,0.0,0.0
42633,0,0,0,0.0,0.0,0.00041016530455192213
42708,0,0,0,0.0,0.0,0.0
42709,0,0,0,0.0,0.0,0.0
42710,0,0,0,0.0,0.0,0.0015632461396191102
42711,0,0,0,0.0,0.0,0.0015011979409331132
42712,0,0,0,0.0,0.0,0.0
42713,0,0,0,0.0,0.0,0.0013370082928362466
42715,0,0,0,0.0,0.0,8.450464221247596e-05
42717,0,0,0,0.0,0.0,0.0015328238349545365
42718,0,0,0,1.0,0.0,0.00014026039127845366
42719,0,0,0,2.0,0.0,0.0006256077994279571
42720,0,0,0,0.0,0.0,0.0007607951671453045
42721,0,0,0,4.0,0.0,0.0006840927401495976
42722,0,0,1,8.0,0.0,0.0004609694447726161
42723,0,0,0,0.0,0.0,0.0023205519534096894
42724,0,0,0,0.0,0.0,0.0005012949671277574
42725,0,0,0,0.0,0.0,0.00023775640808393957
42726,0,0,0,0.0,0.0,0.004884387323923587
42727,0,0,0,0.0,0.0,0.0009046821631963701
42728,0,0,1,5.0,0.0,0.009508878530278032
42729,0,0,0,0.0,0.0,0.0
42730,0,0,0,4.0,0.0,0.0016827287777898487
42731,0,0,0,0.0,0.0,0.002346460797986078
42732,0,0,0,0.0,0.0,0.010766750822901433
42733,0,0,0,0.0,0.0,0.0035118203560534048
42734,0,0,0,0.0,0.0,0.0008683897209668115
42735,0,0,0,0.0,0.0,0.0011160757412447583
42736,0,0,0,0.0,0.0,4.1096241855580045e-05
42737,0,0,0,0.0,0.0,0.004173868406930183
42738,0,0,0,1.0,0.0,0.0015084617082797129
42739,0,0,0,2.0,1.0,0.00010421077848054022
42740,0,0,0,0.0,0.0,0.0005445872316695188
42741,0,0,0,0.0,0.0,0.003163613508875785
42742,0,0,0,0.0,0.0,0.00233364362711577
42743,0,0,0,0.0,0.0,6.050148078443197e-05
42744,0,0,0,0.0,0.0,0.0011786835034036766
42745,0,0,0,0.0,0.0,0.001905297788594597
42746,0,0,0,0.0,0.0,0.0022015180217974254
42747,0,0,0,0.0,0.0,3.563257964356651e-06
42748,0,0,0,0.0,0.0,0.0020403848571988736
42749,0,0,0,0.0,0.0,4.296497269910931e-05
42750,0,0,0,0.0,0.0,0.0
42751,0,0,0,0.0,0.0,0.0015721727606824098
42752,0,0,0,0.0,0.0,0.00012167866085691972
42753,0,0,0,0.0,0.0,0.00015176311587746573
42754,0,0,0,0.0,0.0,0.0007189440424913496
42755,0,0,0,0.0,0.0,0.0009678547677288976
42756,0,0,0,0.0,0.0,0.00608898495080434
42757,0,0,0,0.0,0.0,0.0006221976295835507
42758,0,0,1,5.0,0.0,0.006762910528228974
42759,0,0,0,0.0,0.0,0.0
42760,0,0,0,0.0,0.0,0.0003414920855025656
42763,0,0,0,0.0,0.0,0.0005875205309645005
42765,0,0,0,0.0,0.0,0.0005860318809705026
42766,0,0,0,0.0,0.0,0.0005311313138159705
42767,0,0,0,2.0,0.0,0.00024313560788494614
42768,0,0,0,0.0,0.0,0.00024294556746018043
42769,0,0,0,0.0,0.0,1.293330668544266e-06
42771,0,0,0,2.0,0.0,0.0018989261554642587
42772,0,0,0,2.0,1.0,0.002223673567984692
42773,0,0,0,2.0,1.0,0.003889942733429557
42774,0,0,1,9.0,0.0,0.0007259966538104319
42775,0,0,0,0.0,0.0,0.002108012853912019
42776,0,0,0,0.0,0.0,0.0017629522315444088
42777,0,0,0,0.0,0.0,0.0009435454300609533
42778,0,0,0,0.0,0.0,0.0003711067183618853
42781,0,0,0,0.0,0.0,0.001932109325188623
42782,0,0,0,0.0,0.0,0.0008362412157772827
42783,0,0,0,0.0,0.0,0.001169535168511484
42784,0,0,0,0.0,0.0,0.0014589456198268753
42785,0,0,0,0.0,0.0,0.0
42786,0,0,0,0.0,0.0,0.0
42787,0,0,0,0.0,0.0,0.0009386993992294282
