SegmentID,LongFrom,LatFrom,LongTo,LatTo,persons_injured,persons_killed,ped_injured,ped_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,persons_KSI,ped_KSI,cyclist_KSI,motorist_KSI,Roadway Name,From,To,segment_average_sum
176290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST 188 STREET,GRAND CONCOURSE,VALENTINE AVENUE,9477
176291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST FORDHAM ROAD,GRAND CONCOURSE NORTH,GRAND CONCOURSE SOUTH,26390
176292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST FORDHAM ROAD,GRAND CONCOURSE,VALENTINE AVENUE,30395
176295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEBSTER AVENUE,EAST 189 STREET,EAST FORDHAM ROAD,23949
176365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,8901
176380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204 Street,Grand Concourse,Valentine Avenue,730
176737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOSHOLU PARKWAY,MAJOR DEEGAN EXPRESSWAY,VAN COURTLANDT PARK SOUTH,13255
177454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103 Street,Northern Boulevard,34 Avenue,3151
177488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108 Street,Northern Boulevard,34 Avenue,8631
177744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31 Avenue,131 Street,Whitestone Expressway,1814
177868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROSEDALE AVENUE,CROSS BRONX EXPRESSWAY SB SR,BRIDGE MIDPOINT (ABOVE CROSS BRONX EXPRESSWAY),12419
177876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rosedale Avenue,Cross Bronx Expressway Main Road,Cross Bronx Expressway Service Road,11573
177940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WESTCHESTER AVENUE,HUGH J GRANT CIRCLE,WHITE PLAINS ROAD,9717
178332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HUTCHINSON RIVER PARKWAY,ST THERESA AVENUE,LAURIE AVENUE,49231
178395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST GUN HILL ROAD,BRONX RIVER PARKWAY,BRONX RIVER PARKWAY,41085
178549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STILLWELL AVENUE,PELHAM PARKWAY,RHINELANDER AVENUE,6877
178889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNION TURNPIKE,141 STREET,ENTRANCE INTO UNION TURNPIKE,12491
179513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RANDALL AVENUE,CROSS BRONX EXPRESSWAY NB SR,MIDPOINT OF UNDERPASS,12174
180547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HILLSIDE AVENUE,193 STREET,192 STREET,23193
180938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39 AVENUE,CLEARVIEW EXPRESSWAY SR WEST,CLEARVIEW EXPRESSWAY,6298
182686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEWLETT STREET,77 ROAD,UNION TURNPIKE,25531
184222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,163 STREET,22088
184562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grand Concourse Main Road,Hawkstone Street,Mount Eden Avenue,21903
184645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellowstone Boulevard,Alderton Road,Woodhaven Boulevard,10668
185120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,College Point Boulevard,Northern Boulevard,35 Avenue,14829
185651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marmion Avenue,Cross Bronx Expressway,Fairmount Place,2142
185661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crotona Avenue,East Fordham Road,Southern Boulevard,3221
186009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,163 STREET,12402
186125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,59329
187968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murdock Avenue,174 Street,173 Street,1522
188247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Avenue,East 189 Street,Park Avenue,1914
188574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST 133 STREET,ST ANNS PLACE,CYPRESS AVENUE,8519
189377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,32361
189924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Union Turnpike,141 Street,Main Street,12338
190253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROOKLYN QUEENS EXRESSPWAY,59 STREET,60 STREET,44906
190429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,163 STREET,18602
190690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,70398
190861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST 167 STREET,WALTON AVENUE,GRANDVIEW PLACE,5067
190863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EAST 167 STREET,WALTON AVENUE,GRANDVIEW PLACE,3830
191010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linden Boulevard,Malta Street,Alabama Avenue,21542
191012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linden Boulevard,Malta Street,Alabama Avenue,16995
191088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATLANTIC AVENUE,VAN SINDEREN AVENUE,WILLIAMS PLACE,18583
191098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queens Boulevard,Long Island Expressway,62 Avenue,13436
191797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Union Turnpike,141 Street,Main Street,11178
192425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Provost Avenue,East 233 Street,Westchester,11730
193538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West End Avenue,West 62 Street,Thelonious Monk Circle,21296
