SegmentID,LongFrom,LatFrom,LongTo,LatTo,persons_injured,persons_killed,ped_injured,ped_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,persons_KSI,ped_KSI,cyclist_KSI,motorist_KSI
81403,-73.87072006,40.89790839,-73.86732014,40.89827216,1,0,1,0,0,0,0,0,1,1,0,0
81288,-73.88516981,40.89459323,-73.88457012,40.89787699,0,0,0,0,0,0,0,0,0,0,0,0
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0
99454,-73.79365523,40.80408776,-73.79362907,40.8003963,0,0,0,0,0,0,0,0,0,0,0,0
187666,-73.8800658,40.78584929,-73.88508605,40.78683549,0,0,0,0,0,0,0,0,0,0,0,0
81407,-73.87097655,40.89926435,-73.86757303,40.89963116,0,0,0,0,0,0,0,0,0,0,0,0
179712,-73.83329318,40.86859477,-73.83490444,40.87191198,0,0,0,0,0,0,0,0,0,0,0,0
121040,-73.90288034,40.80874479,-73.90222285,40.80494811,1,0,0,0,0,0,1,0,1,0,0,1
121040,-73.90288034,40.80874479,-73.90222285,40.80494811,1,0,0,0,0,0,1,0,1,0,0,1
87256,-73.83551326,40.82772637,-73.83169663,40.82653497,1,0,1,0,0,0,0,0,1,1,0,0
87256,-73.83551326,40.82772637,-73.83169663,40.82653497,1,0,1,0,0,0,0,0,1,1,0,0
121132,-73.87475674,40.87316338,-73.87194937,40.87702535,0,0,0,0,0,0,0,0,0,0,0,0
187389,-73.87197281,40.78707375,-73.8800658,40.78584929,0,0,0,0,0,0,0,0,0,0,0,0
99733,-73.79570631,40.8668814,-73.79928841,40.86801682,0,0,0,0,0,0,0,0,0,0,0,0
69924,-73.92239945,40.80978051,-73.91880433,40.80826172,0,0,0,0,0,0,0,0,0,0,0,0
119701,-73.80773221,40.86272771,-73.81325022,40.86443156,0,0,0,0,0,0,0,0,0,0,0,0
119701,-73.80773221,40.86272771,-73.81325022,40.86443156,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0
81410,-73.87109852,40.8999468,-73.86770113,40.90031162,0,0,0,0,0,0,0,0,0,0,0,0
95430,-73.81822433,40.87749692,-73.81629724,40.88309414,0,0,0,0,0,0,0,0,0,0,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0
85725,-73.83667856,40.81758876,-73.83646794,40.82095697,0,0,0,0,0,0,0,0,0,0,0,0
107384,-73.86656053,40.8897532,-73.86368528,40.8943246,0,0,0,0,0,0,0,0,0,0,0,0
178410,-73.86786602,40.88417839,-73.86648542,40.8874822,0,0,0,0,0,0,0,0,0,0,0,0
194606,-73.84363793,40.85750163,-73.83768048,40.85664184,0,0,0,0,0,0,0,0,0,0,0,0
81405,-73.87084959,40.89858737,-73.86744772,40.89895275,0,0,0,0,0,0,0,0,0,0,0,0
87112,-73.84288473,40.84640563,-73.84147498,40.8499147,0,0,0,0,0,0,0,0,0,0,0,0
85696,-73.83565567,40.81120458,-73.83161574,40.80493826,0,0,0,0,0,0,0,0,0,0,0,0
99509,-73.78825417,40.84243493,-73.7849568,40.84313826,0,0,0,0,0,0,0,0,0,0,0,0
193982,-73.84379361,40.85713705,-73.83931363,40.85644437,1,0,0,0,0,0,1,0,1,0,0,1
193982,-73.84379361,40.85713705,-73.83931363,40.85644437,1,0,0,0,0,0,1,0,1,0,0,1
193982,-73.84379361,40.85713705,-73.83931363,40.85644437,1,0,0,0,0,0,1,0,1,0,0,1
193982,-73.84379361,40.85713705,-73.83931363,40.85644437,1,0,0,0,0,0,1,0,1,0,0,1
122605,-73.80139796,40.85310732,-73.80234207,40.85723755,1,0,1,0,0,0,0,0,1,1,0,0
